State,District,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations
,,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %
,,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons
Karnataka,Bengaluru Urban,YELAHANKA,162,0,15,791,0,21,10933,1684,20,12623,4467,22,6824,4289,33,10117,8833,51,10508,10508
Karnataka,Bidar,Aurad,183,0,31,612,0,20,2168,353,26,4611,1800,24,6053,3799,38,11364,9982,44,8366,8366
Karnataka,Bidar,Basavakalyan,160,0,2,351,0,8,2473,311,13,5421,2178,26,12489,7887,28,17989,15783,83,20453,20453
Karnataka,Bidar,Bhalki,160,0,0,0,0,4,2269,482,18,8007,3370,31,21706,14162,25,8926,7446,82,21809,21809
Karnataka,Bidar,Bidar,140,0,0,0,0,7,2915,409,15,6982,2760,19,14538,9411,29,13057,11961,70,26277,26277
Karnataka,Bidar,Chittaguppa,48,0,0,0,0,5,4356,832,11,7118,2539,3,1900,1209,11,5275,4569,18,4860,4860
Karnataka,Bidar,Hulasuru,26,0,0,0,0,5,5606,527,0,0,0,3,1069,620,4,2738,2417,14,3971,3971
Karnataka,Bidar,Humnabad,59,0,0,0,0,5,3133,648,5,2458,993,8,6057,3486,9,3865,3485,32,14826,14826
Karnataka,Bidar,Kamalanagara,107,0,12,327,0,14,2705,358,11,3024,1139,13,4232,2898,25,10423,9446,32,8108,8108
Karnataka,CHAMARAJANAGARA,Chamarajanagar,258,0,16,501,0,4,294,70,10,1776,753,15,2287,1474,112,50116,47860,101,34282,34282
Karnataka,CHAMARAJANAGARA,Gundlupet,191,0,12,433,0,0,0,0,1,41,11,2,89,62,27,10925,10669,149,45476,45476
Karnataka,CHAMARAJANAGARA,Hanuru,260,0,20,2677,0,18,2081,297,35,4106,1604,44,6775,4357,104,25697,23994,39,8488,8488
Karnataka,CHAMARAJANAGARA,Kollegala,97,0,2,175,0,2,620,64,5,532,200,9,770,454,32,15552,15018,47,18840,18840
Karnataka,CHAMARAJANAGARA,Yelandur,49,0,1,454,0,0,0,0,1,65,26,3,549,386,17,9392,9138,27,8698,8698
Karnataka,Chikkaballapura,Bagepalli,400,2,27,876,0,4,95,8,31,2958,1202,107,10924,7009,133,17536,15441,96,10621,10621
Karnataka,Chikkaballapura,Chikballapur,300,0,46,2228,0,18,2334,276,46,8762,3258,64,8788,5642,67,8003,7291,59,6114,6114
Karnataka,Chikkaballapura,Chintamani,405,0,91,9650,0,52,10743,1162,47,9087,3698,89,11778,7472,84,9532,8509,42,4254,4254
Karnataka,Chikkaballapura,Gauribidanur,315,0,30,2337,0,47,6717,1015,48,14431,5254,54,11052,6907,74,14388,13006,62,12978,12978
Karnataka,Chikkaballapura,Gudibanda,123,1,4,85,0,2,308,63,5,603,256,12,1542,1024,44,4953,4274,55,5086,5086
Karnataka,Chikkaballapura,Sidlaghatta,268,0,36,3596,0,18,5902,594,24,5533,2097,59,8314,5328,81,10064,8860,50,5376,5376
Karnataka,CHIKKAMAGALURU,AJJAMPURA,133,0,4,160,0,3,370,53,16,4812,1672,8,1044,723,35,7439,7005,67,11114,11114
Karnataka,CHIKKAMAGALURU,Chikkamagaluru,571,27,66,2145,0,79,5636,598,55,5312,2039,65,6568,4066,162,18061,17212,117,10631,10631
Karnataka,CHIKKAMAGALURU,Kadur,388,0,42,1924,0,48,6810,926,50,8062,3114,65,9334,5587,105,19591,18197,78,9723,9723
Karnataka,CHIKKAMAGALURU,Kalasa,152,48,31,391,0,16,595,56,12,671,286,8,676,441,9,788,720,28,3083,3083
Karnataka,CHIKKAMAGALURU,Koppa,820,1,143,2357,0,36,1358,170,52,2070,771,52,1698,1041,88,3747,3371,448,10915,10915
Karnataka,CHIKKAMAGALURU,Mudigere,337,1,46,830,0,28,1773,195,28,2063,762,59,5938,3622,62,5357,4716,113,9935,9935
Karnataka,CHIKKAMAGALURU,Narasimharajapura,423,1,34,446,0,10,351,50,42,1673,636,45,1590,957,61,4306,3970,230,6999,6999
Karnataka,CHIKKAMAGALURU,Sringeri,687,12,20,192,0,14,459,51,18,229,89,40,468,289,27,344,302,556,7283,7283
Karnataka,CHIKKAMAGALURU,Tarikere,207,0,30,1226,0,23,2672,255,21,2562,1018,31,7180,4122,42,9414,8402,60,8744,8744
Karnataka,Chitradurga,Challakere,350,3,38,3232,0,29,5732,801,46,13775,5421,46,15028,9739,80,25100,22705,108,19606,19606
Karnataka,Chitradurga,Chitradurga,275,0,36,6786,0,21,7493,600,23,7061,2433,31,11715,7296,48,14934,13825,116,25542,25542
Karnataka,Chitradurga,Hiriyur,338,8,46,6184,0,85,20279,2437,45,10879,3784,31,6014,3792,62,21020,19820,61,14253,14253
Karnataka,Chitradurga,Holalkere,222,0,5,471,0,7,1617,129,10,2593,928,24,6214,3957,36,10672,9571,140,28885,28885
Karnataka,Chitradurga,Hosdurga,348,0,78,5252,0,60,8465,1041,37,13124,5094,43,9405,5957,73,15324,14182,57,8853,8853
Karnataka,Chitradurga,Molakalmuru,128,0,12,485,0,4,220,20,7,4760,1701,21,2754,1817,54,20632,19265,30,6000,6000
Karnataka,Dakshina Kannada,Bantval,627,1,5,292,0,3,810,130,12,3942,1430,13,1172,738,57,5282,4758,536,65971,65971
Karnataka,Dakshina Kannada,Beltangadi,903,5,29,1393,0,37,2358,219,29,2456,975,40,3123,1947,122,8566,8020,641,43999,43999
Karnataka,Dakshina Kannada,KADABA,411,7,50,1952,0,25,1463,180,30,2428,867,37,3134,1944,62,4971,4545,200,14111,14111
Karnataka,Dakshina Kannada,Mangaluru,325,3,16,1063,0,6,802,35,12,2164,782,18,2863,1856,66,15602,14588,204,24487,24487
Karnataka,Dakshina Kannada,Mudubidare,449,1,9,253,0,17,583,80,22,1124,449,33,1803,1137,97,4470,4031,270,12377,12377
Karnataka,Dakshina Kannada,Mulki,98,2,0,0,0,3,496,82,7,650,277,23,1616,1051,25,3496,3166,38,5197,5197
Karnataka,Dakshina Kannada,Puttur,372,0,0,0,0,1,141,19,3,334,136,4,394,218,30,3406,3190,334,26391,26391
Karnataka,Dakshina Kannada,Sulya,243,5,1,119,0,20,2067,321,22,4063,1593,31,2643,1662,79,9433,8730,85,8672,8672
Karnataka,Dakshina Kannada,Ullala,222,0,2,264,0,16,2158,263,14,2460,972,19,2251,1387,63,8345,7638,108,13008,13008
Karnataka,Davangere,Channagiri,246,0,0,0,0,2,116,6,6,1650,684,15,5018,3221,33,14426,12823,190,50148,50148
Karnataka,Davangere,Davanagere,199,0,0,0,0,2,1096,183,11,4663,2096,20,10306,6563,29,11300,10192,137,34426,34426
Karnataka,Davangere,Harihara,85,0,0,0,0,0,0,0,0,0,0,3,1900,1255,11,6613,6008,71,27235,27235
Karnataka,Davangere,Honnali,108,0,0,0,0,1,85,10,3,1195,477,12,2590,1659,21,7785,6734,71,21083,21083
Karnataka,Davangere,Jagalur,166,0,6,657,0,32,6918,883,35,7661,3264,22,6786,4111,15,5964,5563,56,10454,10454
Karnataka,Davangere,Nyamathi,71,0,0,0,0,1,17,2,9,1568,660,8,2759,1692,12,3722,3254,41,11298,11298
Karnataka,Dharwad,Alnavar,21,0,2,144,0,0,0,0,2,90,32,1,87,60,1,500,460,15,4086,4086
Karnataka,Dharwad,ANNIGERI,20,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2163,1916,18,9634,9634
Karnataka,Dharwad,Dharwad,105,0,0,0,0,0,0,0,2,195,75,0,0,0,9,9212,8188,94,46297,46297
Karnataka,Dharwad,Hubballi,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,36521,36521
Karnataka,Dharwad,Kalghatgi,101,0,0,0,0,0,0,0,0,0,0,1,70,52,1,95,91,99,34888,34888
Karnataka,Dharwad,Kundgol,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,37409,37409
Karnataka,Dharwad,Navalgund,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,21390,21390
Karnataka,Gadag,Gadag,66,0,0,0,0,0,0,0,0,0,0,0,0,0,1,297,270,65,52703,52703
Karnataka,Gadag,GAJENDRAGAD,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,20536,20536
Karnataka,Gadag,LAXMESHWAR,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,19510,19510
Karnataka,Gadag,Mundaragi,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,32274,32274
Karnataka,Gadag,Naragund,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,16153,16153
Karnataka,Gadag,Ron,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,39176,39176
Karnataka,Gadag,Shirahatti,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,19464,19464
Karnataka,Hassan,Alur,448,0,246,8092,0,76,4971,602,33,2105,731,39,2718,1663,36,1715,1494,18,667,667
Karnataka,Hassan,Arkalgud,406,0,94,4416,0,102,14087,1618,59,11480,4332,66,12456,7822,72,9832,8654,13,574,574
Karnataka,Hassan,Arsikere,573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573,68822,68822
Karnataka,Hassan,Belur,428,0,115,6440,0,147,17984,1763,75,9855,3573,49,6483,3991,33,4557,3912,9,1495,1495
Karnataka,Hassan,Channarayapatna,541,0,110,6170,0,114,14882,1042,73,14776,5478,77,11619,7105,111,16744,14610,56,6551,6551
Karnataka,Hassan,Hassan,438,0,30,2226,0,57,23134,2414,80,19875,7779,101,19957,12290,117,23705,20548,53,6947,6947
Karnataka,Hassan,Holenarsipur,329,0,10,386,0,5,979,210,18,2722,1044,21,3370,2063,60,10120,8891,215,29196,29196
Karnataka,Hassan,Sakaleshpur,481,7,156,5738,0,66,6074,726,53,4017,1487,55,5028,3161,60,4672,4138,84,3851,3851
Karnataka,Haveri,Byadgi,67,0,0,0,0,0,0,0,0,0,0,3,1510,993,6,5025,4333,58,20565,20565
Karnataka,Haveri,Hanagal,166,0,0,0,0,7,1455,198,8,1785,673,21,6864,4392,29,15458,13563,101,30476,30476
